latitude,index
-33.2044838,859
-33.2048716,860
-33.2049434,861
-33.2050158,862
-33.2054087,863
-33.2060483,864
-33.2064841,865
-33.2066856,866
-33.2070769,867
-33.2071346,868
-33.2081578,869
-33.2084672,870
-33.208593,871
-33.208849,872
-33.2090976,873
-33.2099443,874
-33.210384,875
-33.2113924,876
-33.2123912,877
-33.2126241,878
-33.2138434,879
-33.2139133,880
-33.2145622,881
-33.2150787,882
-33.2153046,883
-33.2158892,884
-33.2160712,885
-33.2165867,886
-33.217933,887
-33.2192397,888
-33.2194818,889
-33.2200429,890
-33.2201709,891
-33.2204246,892
-33.2205216,893
-33.2205422,894
-33.2205731,895
-33.2210062,896
-33.2210527,897
-33.2211975,898
-33.2216454,899
-33.2217166,900
-33.222668,901
-33.2231172,902
-33.2233774,903
-33.2236467,904
-33.2240269,905
-33.2240784,906
-33.2252435,907
-33.2254704,908
-33.2255404,909
-33.2257179,910
-33.225728,911
-33.225914,912
-33.2261844,913
-33.2264048,914
-33.22646,915
-33.2266999,916
-33.2268759,917
-33.2269296,918
-33.2271501,919
-33.2273173,920
-33.22749,921
-33.2276584,922
-33.2277232,923
-33.2278703,924
-33.2278782,925
-33.2278962,926
-33.2280476,927
-33.2282042,928
-33.2282614,929
-33.2301458,930
-33.2306248,931
-33.2306825,932
-33.2313107,933
-33.2314457,934
-33.2320286,935
-33.2321568,936
-33.2324414,937
-33.2326265,938
-33.2328721,939
-33.2330606,940
-33.2347792,941
-33.2353674,942
-33.2363591,943
-33.2365486,944
-33.2366327,945
-33.2376873,946
-33.2397824,947
-33.2410566,948
-33.241345,949
-33.242295,950
-33.2423762,951
-33.2437676,952
-33.2442888,953
-33.2444685,954
-33.2447674,955
-33.2449393,956
-33.245606,957
-33.2457054,958
-33.2461177,959
-33.2463242,960
-33.2465028,961
-33.2477668,962
-33.2480822,963
-33.2484116,964
-33.2484501,965
-33.2497962,966
-33.2507557,967
-33.2517338,968
-33.2518581,969
-33.2518688,970
-33.2522728,971
-33.2529715,972
-33.2530221,973
-33.2539544,974
-33.255074,975
-33.2551444,976
-33.2558519,977
-33.2570452,978
-33.2570527,979
-33.2581939,980
-33.2582908,981
-33.2586192,982
-33.2603381,983
-33.2612799,984
-33.2623188,985
-33.2631188,986
-33.2639175,987
-33.264095,988
-33.264659,989
-33.2650393,990
-33.2658015,991
-33.2663483,992
-33.266919,993
-33.2670931,994
-33.2673784,995
-33.2694434,996
-33.2702684,997
-33.2709367,998
-33.2714074,999
